id,index,period,timestamp,minute,second,possession,duration,type.id,type.name,possession_team.id,possession_team.name,play_pattern.id,play_pattern.name,team.id,team.name,tactics.formation,tactics.lineup,related_events,location,player.id,player.name,position.id,position.name,pass.recipient.id,pass.recipient.name,pass.length,pass.angle,pass.height.id,pass.height.name,pass.end_location,pass.body_part.id,pass.body_part.name,pass.type.id,pass.type.name,carry.end_location,pass.switch,pass.outcome.id,pass.outcome.name,ball_receipt.outcome.id,ball_receipt.outcome.name,under_pressure,duel.type.id,duel.type.name,pass.aerial_won,counterpress,interception.outcome.id,interception.outcome.name,off_camera,ball_recovery.recovery_failure,pass.assisted_shot_id,pass.shot_assist,shot.statsbomb_xg,shot.end_location,shot.key_pass_id,shot.outcome.id,shot.outcome.name,shot.first_time,shot.technique.id,shot.technique.name,shot.body_part.id,shot.body_part.name,shot.type.id,shot.type.name,shot.freeze_frame,goalkeeper.end_location,goalkeeper.type.id,goalkeeper.type.name,goalkeeper.position.id,goalkeeper.position.name,pass.cross,goalkeeper.outcome.id,goalkeeper.outcome.name,clearance.left_foot,clearance.body_part.id,clearance.body_part.name,block.deflection,duel.outcome.id,duel.outcome.name,dribble.nutmeg,dribble.outcome.id,dribble.outcome.name,foul_committed.offensive,foul_committed.card.id,foul_committed.card.name,foul_won.defensive,pass.through_ball,pass.technique.id,pass.technique.name,out,clearance.right_foot,pass.inswinging,goalkeeper.technique.id,goalkeeper.technique.name,goalkeeper.body_part.id,goalkeeper.body_part.name,clearance.head,shot.aerial_won,miscontrol.aerial_won,dribble.overrun,pass.miscommunication,block.offensive,bad_behaviour.card.id,bad_behaviour.card.name,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,pass.cut_back,shot.one_on_one,foul_committed.advantage,foul_won.advantage,clearance.aerial_won,pass.deflected,pass.no_touch,foul_committed.type.id,foul_committed.type.name,pass.straight,pass.goal_assist
331db128-f322-4367-a136-7c3e723b34a2,2843,2,00:21:50.335,66,50,101,1.428588,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['1270d8f3-d08a-4fca-839c-e3aac7e482c0'],"[70.6, 53.0]",5470.0,Ivan Rakitić,13.0,Right Center Midfield,6379.0,Sergi Roberto Carnicer,24.939327,1.1843332,1.0,Ground Pass,"[80.0, 76.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270d8f3-d08a-4fca-839c-e3aac7e482c0,2844,2,00:21:51.764,66,51,101,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['331db128-f322-4367-a136-7c3e723b34a2'],"[80.0, 76.1]",6379.0,Sergi Roberto Carnicer,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f4e5e03-7ffa-4581-bd40-fea251cbbe57,2845,2,00:21:51.764,66,51,101,1.311697,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['1270d8f3-d08a-4fca-839c-e3aac7e482c0', 'a34ccd14-fcd9-4c62-bcf9-056fbd6bf260']","[80.0, 76.1]",6379.0,Sergi Roberto Carnicer,2.0,Right Back,,,,,,,,,,,,"[79.8, 75.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a34ccd14-fcd9-4c62-bcf9-056fbd6bf260,2846,2,00:21:53.076,66,53,101,1.345109,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['703469b2-7611-4e3a-a2fe-973c8ccae7f9'],"[79.8, 75.5]",6379.0,Sergi Roberto Carnicer,2.0,Right Back,5470.0,Ivan Rakitić,13.320661,-2.4199378,1.0,Ground Pass,"[69.8, 66.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703469b2-7611-4e3a-a2fe-973c8ccae7f9,2847,2,00:21:54.421,66,54,101,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['a34ccd14-fcd9-4c62-bcf9-056fbd6bf260'],"[69.8, 66.7]",5470.0,Ivan Rakitić,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310fc52-491f-4614-a305-44ad831a199a,2848,2,00:21:54.421,66,54,101,4.622069,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['703469b2-7611-4e3a-a2fe-973c8ccae7f9', 'be4a9713-b73d-4335-aeea-73746340be61']","[69.8, 66.7]",5470.0,Ivan Rakitić,13.0,Right Center Midfield,,,,,,,,,,,,"[91.2, 59.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be4a9713-b73d-4335-aeea-73746340be61,2849,2,00:21:59.043,66,59,101,1.09035,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['56cc5b3a-6133-4a38-9b19-9aac4052c012'],"[91.2, 59.6]",5470.0,Ivan Rakitić,13.0,Right Center Midfield,,,19.163769,-1.0581226,1.0,Ground Pass,"[100.6, 42.9]",40.0,Right Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56cc5b3a-6133-4a38-9b19-9aac4052c012,2850,2,00:22:00.133,67,0,101,0.0,9,Clearance,217,Barcelona,1,Regular Play,206,Deportivo Alavés,,,['be4a9713-b73d-4335-aeea-73746340be61'],"[19.5, 37.2]",6615.0,Víctor Laguardia Cisneros,3.0,Right Center Back,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7e0ca0c-08dd-4cd2-ac50-7bda85840d89,2851,2,00:22:01.589,67,1,101,0.0,2,Ball Recovery,217,Barcelona,1,Regular Play,217,Barcelona,,,,"[91.6, 64.6]",6379.0,Sergi Roberto Carnicer,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d501ce-7f3e-42b7-aabf-0e6738f85726,2852,2,00:22:02.367,67,2,101,0.428599,17,Pressure,217,Barcelona,1,Regular Play,217,Barcelona,,,"['51a556f2-bba2-4e3e-96b2-f868aee5d0c1', 'fe76cb99-7ecb-47b3-a743-e289ea3256de']","[95.7, 62.8]",6379.0,Sergi Roberto Carnicer,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
